Time,I(Lo)
0.029470199999879244,0.021957768396891317
0.029470299999879244,0.021569944908512984
0.029470399999879243,0.021182121250169435
0.029470499999879243,0.020794297428503982
0.029470599999879242,0.020406473450159935
0.029470699999879241,0.020018649321780605
0.029470799999879241,0.0196308250500093
0.02947089999987924,0.01924300064148933
0.02947099999987924,0.018855176102864007
0.029471099999879239,0.018467351440776634
0.029471199999879238,0.018079526661870515
0.029471299999879238,0.017691701772788958
0.029471399999879237,0.017303876780175264
0.029471499999879237,0.016916051690672732
0.029471599999879236,0.016528226510924664
0.029471699999879235,0.016140401247574356
0.029471799999879235,0.015752575907265105
0.029471899999879234,0.015364750496640199
0.029471999999879234,0.014976925022342933
0.029472099999879233,0.014589099491016595
0.029472199999879233,0.014201273909304471
0.029472299999879232,0.013813448283849844
0.029472399999879231,0.013425622621295995
0.029472499999879231,0.013037796928286204
0.02947259999987923,0.012649971211463745
0.02947269999987923,0.01226214547747189
0.029472799999879229,0.011874319732953909
0.029472899999879228,0.011486493984553066
0.029472999999879228,0.011098668238912625
0.029473099999879227,0.010710842502675845
0.029473199999879227,0.010323016782485981
0.029473299999879226,0.0099351910849862848
0.029473399999879225,0.0095473654168200042
0.029473499999879225,0.0091595397846303845
0.029473599999879224,0.0087717141950606654
0.029473699999879224,0.0083838886547540816
0.029473799999879223,0.0079960631703538659
0.029473899999879222,0.0076082377485032458
0.029473999999879222,0.0072204123958454431
0.029474099999879221,0.0068325871190236757
0.029474199999879221,0.0064447619246811583
0.02947429999987922,0.0060569368194610994
0.029474399999879219,0.0056691118100067025
0.029474499999879219,0.0052812869029611655
0.029474599999879218,0.0048934621049676824
0.029474699999879218,0.0045056374226694418
0.029474799999879217,0.0041178128627096262
0.029474899999879216,0.0037299884317314128
0.029474999999879216,0.003342164136377973
0.029475099999879215,0.0029543399832924729
0.029475199999879215,0.0025665159791180728
0.029475299999879214,0.0021786921304979266
0.029475399999879213,0.0017908684440751824
0.029475499999879213,0.0014030449264929822
0.029475599999879212,0.0010152215843944614
0.029475699999879212,0.00062739842442274894
0.029475799999879211,0.0002395754532209676
0.029475899999879211,-6.1983980805939722e-006
0.02947599999987921,-1.5376850512797749e-005
0.029476099999879209,-1.595132119474465e-005
0.029476199999879209,-1.5598855624345184e-005
0.029476299999879208,-1.5815079216298387e-005
0.029476399999879208,-1.5682403558120972e-005
0.029476499999879207,-1.5763782773518423e-005
0.029476599999879206,-1.5713836143765927e-005
0.029476699999879206,-1.5744459871136072e-005
0.029476799999879205,-1.5725652487384451e-005
0.029476899999879205,-1.5737171824715906e-005
0.029476999999879204,-1.5730085268107506e-005
0.029477099999879203,-1.5734413703869605e-005
0.029477199999879203,-1.5731738872229339e-005
0.029477299999879202,-1.5733360649198145e-005
0.029477399999879202,-1.5732346392960296e-005
0.029477499999879201,-1.5732949382268284e-005
0.0294775999998792,-1.5732560167416329e-005
0.0294776999998792,-1.5732779684567636e-005
0.029477799999879199,-1.5732625735600888e-005
0.029477899999879199,-1.5732700913656076e-005
0.029477999999879198,-1.5732635518889065e-005
0.029478099999879197,-1.5732656367646857e-005
0.029478199999879197,-1.573262430473077e-005
0.029478299999879196,-1.5732624703922643e-005
0.029478399999879196,-1.5732605187138895e-005
0.029478499999879195,-1.5732597889111993e-005
0.029478599999879194,-1.5732583094706143e-005
0.029478699999879194,-1.5732572899450059e-005
0.029478799999879193,-1.5732559882557171e-005
0.029478899999879193,-1.573254859679028e-005
0.029478999999879192,-1.5732536248961778e-005
0.029479099999879192,-1.5732524552733773e-005
0.029479199999879191,-1.5732512456749095e-005
0.02947929999987919,-1.5732500606030985e-005
0.02947939999987919,-1.5732488604848111e-005
0.029479499999879189,-1.5732476695987501e-005
0.029479599999879189,-1.5732464730495702e-005
0.029479699999879188,-1.5732452799757901e-005
0.029479799999879187,-1.5732440847707929e-005
0.029479899999879187,-1.5732428908743189e-005
0.029479999999879186,-1.5732416961760347e-005
0.029480099999879186,-1.5732405019706644e-005
0.029480199999879185,-1.5732393074638764e-005
