Time,D,PWM,Vtri
0.037275200000041933,0.40000000000000002,0,0.99199999834470631
0.037275300000041936,0.40000000000000002,0,0.98799999834459196
0.037275400000041939,0.40000000000000002,0,0.9839999983444776
0.037275500000041942,0.40000000000000002,0,0.97999999834436324
0.037275600000041945,0.40000000000000002,0,0.97599999834424889
0.037275700000041948,0.40000000000000002,0,0.97199999834413453
0.03727580000004195,0.40000000000000002,0,0.96799999834402017
0.037275900000041953,0.40000000000000002,0,0.96399999834390582
0.037276000000041956,0.40000000000000002,0,0.95999999834379146
0.037276100000041959,0.40000000000000002,0,0.9559999983436771
0.037276200000041962,0.40000000000000002,0,0.95199999834356275
0.037276300000041965,0.40000000000000002,0,0.94799999834344839
0.037276400000041968,0.40000000000000002,0,0.94399999834333403
0.037276500000041971,0.40000000000000002,0,0.93999999834321968
0.037276600000041973,0.40000000000000002,0,0.93599999834310543
0.037276700000041976,0.40000000000000002,0,0.93199999834299108
0.037276800000041979,0.40000000000000002,0,0.92799999834287672
0.037276900000041982,0.40000000000000002,0,0.92399999834276236
0.037277000000041985,0.40000000000000002,0,0.91999999834264801
0.037277100000041988,0.40000000000000002,0,0.91599999834253365
0.037277200000041991,0.40000000000000002,0,0.91199999834241929
0.037277300000041994,0.40000000000000002,0,0.90799999834230494
0.037277400000041996,0.40000000000000002,0,0.90399999834219058
0.037277500000041999,0.40000000000000002,0,0.89999999834207622
0.037277600000042002,0.40000000000000002,0,0.89599999834196187
0.037277700000042005,0.40000000000000002,0,0.89199999834184751
0.037277800000042008,0.40000000000000002,0,0.88799999834173315
0.037277900000042011,0.40000000000000002,0,0.8839999983416188
0.037278000000042014,0.40000000000000002,0,0.87999999834150444
0.037278100000042017,0.40000000000000002,0,0.87599999834139008
0.037278200000042019,0.40000000000000002,0,0.87199999834127573
0.037278300000042022,0.40000000000000002,0,0.86799999834116137
0.037278400000042025,0.40000000000000002,0,0.86399999834104702
0.037278500000042028,0.40000000000000002,0,0.85999999834093266
0.037278600000042031,0.40000000000000002,0,0.8559999983408183
0.037278700000042034,0.40000000000000002,0,0.85199999834070395
0.037278800000042037,0.40000000000000002,0,0.84799999834058959
0.03727890000004204,0.40000000000000002,0,0.84399999834047523
0.037279000000042042,0.40000000000000002,0,0.83999999834036088
0.037279100000042045,0.40000000000000002,0,0.83599999834024652
0.037279200000042048,0.40000000000000002,0,0.83199999834013216
0.037279300000042051,0.40000000000000002,0,0.82799999834001781
0.037279400000042054,0.40000000000000002,0,0.82399999833990345
0.037279500000042057,0.40000000000000002,0,0.81999999833978909
0.03727960000004206,0.40000000000000002,0,0.81599999833967474
0.037279700000042063,0.40000000000000002,0,0.81199999833956049
0.037279800000042065,0.40000000000000002,0,0.80799999833944613
0.037279900000042068,0.40000000000000002,0,0.80399999833933178
0.037280000000042071,0.40000000000000002,0,0.79999999833921742
0.037280100000042074,0.40000000000000002,0,0.79599999833910307
0.037280200000042077,0.40000000000000002,0,0.79199999833898871
0.03728030000004208,0.40000000000000002,0,0.78799999833887435
0.037280400000042083,0.40000000000000002,0,0.78399999833876
0.037280500000042086,0.40000000000000002,0,0.77999999833864564
0.037280600000042088,0.40000000000000002,0,0.77599999833853128
0.037280700000042091,0.40000000000000002,0,0.77199999833841693
0.037280800000042094,0.40000000000000002,0,0.76799999833830257
0.037280900000042097,0.40000000000000002,0,0.76399999833818821
0.0372810000000421,0.40000000000000002,0,0.75999999833807386
0.037281100000042103,0.40000000000000002,0,0.7559999983379595
0.037281200000042106,0.40000000000000002,0,0.75199999833784514
0.037281300000042109,0.40000000000000002,0,0.74799999833773079
0.037281400000042111,0.40000000000000002,0,0.74399999833761643
0.037281500000042114,0.40000000000000002,0,0.73999999833750207
0.037281600000042117,0.40000000000000002,0,0.73599999833738772
0.03728170000004212,0.40000000000000002,0,0.73199999833727336
0.037281800000042123,0.40000000000000002,0,0.727999998337159
0.037281900000042126,0.40000000000000002,0,0.72399999833704465
0.037282000000042129,0.40000000000000002,0,0.71999999833693029
0.037282100000042132,0.40000000000000002,0,0.71599999833681593
0.037282200000042134,0.40000000000000002,0,0.71199999833670158
0.037282300000042137,0.40000000000000002,0,0.70799999833658722
0.03728240000004214,0.40000000000000002,0,0.70399999833647287
0.037282500000042143,0.40000000000000002,0,0.69999999833635851
0.037282600000042146,0.40000000000000002,0,0.69599999833624415
0.037282700000042149,0.40000000000000002,0,0.6919999983361298
0.037282800000042152,0.40000000000000002,0,0.68799999833601544
0.037282900000042155,0.40000000000000002,0,0.68399999833590119
0.037283000000042157,0.40000000000000002,0,0.67999999833578684
0.03728310000004216,0.40000000000000002,0,0.67599999833567248
0.037283200000042163,0.40000000000000002,0,0.67199999833555812
0.037283300000042166,0.40000000000000002,0,0.66799999833544377
0.037283400000042169,0.40000000000000002,0,0.66399999833532941
0.037283500000042172,0.40000000000000002,0,0.65999999833521505
0.037283600000042175,0.40000000000000002,0,0.6559999983351007
0.037283700000042178,0.40000000000000002,0,0.65199999833498634
0.03728380000004218,0.40000000000000002,0,0.64799999833487198
0.037283900000042183,0.40000000000000002,0,0.64399999833475763
0.037284000000042186,0.40000000000000002,0,0.63999999833464327
0.037284100000042189,0.40000000000000002,0,0.63599999833452892
0.037284200000042192,0.40000000000000002,0,0.63199999833441456
0.037284300000042195,0.40000000000000002,0,0.6279999983343002
0.037284400000042198,0.40000000000000002,0,0.62399999833418585
0.037284500000042201,0.40000000000000002,0,0.61999999833407149
0.037284600000042203,0.40000000000000002,0,0.61599999833395713
0.037284700000042206,0.40000000000000002,0,0.61199999833384278
