Time,Vo
0.037275200000041933,-50.004059137857858
0.037275300000041936,-50.005723613335
0.037275400000041939,-50.007387169953439
0.037275500000041942,-50.009049807731351
0.037275600000041945,-50.01071152668689
0.037275700000041948,-50.012372326838204
0.03727580000004195,-50.014032208203481
0.037275900000041953,-50.015691170800942
0.037276000000041956,-50.017349214648796
0.037276100000041959,-50.019006339765262
0.037276200000041962,-50.020662546168587
0.037276300000041965,-50.022317833877025
0.037276400000041968,-50.023972202908844
0.037276500000041971,-50.025625653282368
0.037276600000041973,-50.027278185015852
0.037276700000041976,-50.028929798127649
0.037276800000041979,-50.030580492636062
0.037276900000041982,-50.032230268559445
0.037277000000041985,-50.03387912591613
0.037277100000041988,-50.035527064724533
0.037277200000041991,-50.037174085003045
0.037277300000041994,-50.03882018677006
0.037277400000041996,-50.040465370043954
0.037277500000041999,-50.042109634843221
0.037277600000042002,-50.043752981186266
0.037277700000042005,-50.045395409091569
0.037277800000042008,-50.047036918577611
0.037277900000042011,-50.048677509662845
0.037278000000042014,-50.050317182365802
0.037278100000042017,-50.051955936704985
0.037278200000042019,-50.053593772698932
0.037278300000042022,-50.055230690366223
0.037278400000042025,-50.056866689725382
0.037278500000042028,-50.05850177079499
0.037278600000042031,-50.060135933593642
0.037278700000042034,-50.06176917813994
0.037278800000042037,-50.0634015044525
0.03727890000004204,-50.06503291254996
0.037279000000042042,-50.066663402450985
0.037279100000042045,-50.068292974174206
0.037279200000042048,-50.069921627738317
0.037279300000042051,-50.071549363161999
0.037279400000042054,-50.073176180463946
0.037279500000042057,-50.074802079662923
0.03727960000004206,-50.076427060777611
0.037279700000042063,-50.078051123826818
0.037279800000042065,-50.07967426882928
0.037279900000042068,-50.081296495803755
0.037280000000042071,-50.082917804769039
0.037280100000042074,-50.084538195743946
0.037280200000042077,-50.08615766874729
0.03728030000004208,-50.087776223797931
0.037280400000042083,-50.089393860914697
0.037280500000042086,-50.091010580116453
0.037280600000042088,-50.092626381422065
0.037280700000042091,-50.094241264850432
0.037280800000042094,-50.095855230420469
0.037280900000042097,-50.097468278151112
0.0372810000000421,-50.099080408061269
0.037281100000042103,-50.100691620169918
0.037281200000042106,-50.102301914496017
0.037281300000042109,-50.103911291058516
0.037281400000042111,-50.105519749876436
0.037281500000042114,-50.107127290968783
0.037281600000042117,-50.108733914354595
0.03728170000004212,-50.110339620052862
0.037281800000042123,-50.111944408082692
0.037281900000042126,-50.113548278463085
0.037282000000042129,-50.115151231213147
0.037282100000042132,-50.116753266352006
0.037282200000042134,-50.118354383898755
0.037282300000042137,-50.119954583872513
0.03728240000004214,-50.121553866292388
0.037282500000042143,-50.123152231177592
0.037282600000042146,-50.124749678547246
0.037282700000042149,-50.126346208420514
0.037282800000042152,-50.127941820816609
0.037282900000042155,-50.129536515754744
0.037283000000042157,-50.131130293254174
0.03728310000004216,-50.132723153334076
0.037283200000042163,-50.134315096013715
0.037283300000042166,-50.135906121312388
0.037283400000042169,-50.1374962292494
0.037283500000042172,-50.13908541984398
0.037283600000042175,-50.140673693115467
0.037283700000042178,-50.142261049083189
0.03728380000004218,-50.143847487766493
0.037283900000042183,-50.145433009184707
0.037284000000042186,-50.147017613357214
0.037284100000042189,-50.148601300303397
0.037284200000042192,-50.15018407004262
0.037284300000042195,-50.151765922594329
0.037284400000042198,-50.153346857977937
0.037284500000042201,-50.154926876212905
0.037284600000042203,-50.156505977318638
0.037284700000042206,-50.158084161314655
0.037284800000042209,-50.159661428220403
0.037284900000042212,-50.161237778055416
0.037285000000042215,-50.162813210839161
0.037285100000042218,-50.164387726591173
0.037285200000042221,-50.165961325330997
0.037285300000042224,-50.167534007078217
0.037285400000042226,-50.169105771852351
0.037285500000042229,-50.170676619672996
0.037285600000042232,-50.172246550559755
0.037285700000042235,-50.173815564532234
0.037285800000042238,-50.175383661610063
0.037285900000042241,-50.176950841812896
0.037286000000042244,-50.178517105160402
0.037286100000042247,-50.180082451672206
0.037286200000042249,-50.181646881367996
0.037286300000042252,-50.183210394267491
0.037286400000042255,-50.184772990390378
0.037286500000042258,-50.186334669756391
0.037286600000042261,-50.187895432385297
0.037286700000042264,-50.189455278296826
0.037286800000042267,-50.191014207510733
0.03728690000004227,-50.192572220046813
0.037287000000042272,-50.194129315924883
0.037287100000042275,-50.195685495164739
0.037287200000042278,-50.197240757786211
0.037287300000042281,-50.198795103809132
0.037287400000042284,-50.200348533253361
0.037287500000042287,-50.201901046138751
0.03728760000004229,-50.203452642485225
0.037287700000042293,-50.205003322312649
0.037287800000042295,-50.206553085640934
0.037287900000042298,-50.208101932490017
0.037288000000042301,-50.209649862879836
0.037288100000042304,-50.211196876830343
0.037288200000042307,-50.212742974361504
0.03728830000004231,-50.214288155493335
0.037288400000042313,-50.215832420245768
0.037288500000042316,-50.217375768638874
0.037288600000042318,-50.21891820069267
0.037288700000042321,-50.220459716427165
0.037288800000042324,-50.222000315862459
0.037288900000042327,-50.223539999018591
0.03728900000004233,-50.225078765915669
0.037289100000042333,-50.22661661657375
0.037289200000042336,-50.22815355101298
0.037289300000042339,-50.229689569253495
0.037289400000042341,-50.231224671315417
0.037289500000042344,-50.232758857218876
0.037289600000042347,-50.234292126984087
0.03728970000004235,-50.235824480631223
0.037289800000042353,-50.237355918180462
0.037289900000042356,-50.238886439652042
0.037290000000042359,-50.240416045066176
0.037290100000042362,-50.237904079368136
0.037290200000042364,-50.235392239264442
0.037290300000042367,-50.232880493352624
0.03729040000004237,-50.230368873025739
0.037290500000042373,-50.227857378277498
0.037290600000042376,-50.225346009101628
