Time,tensao_indutor
0.037275200000041933,-50.004073266364067
0.037275300000041936,-50.005737739193769
0.037275400000041939,-50.007401293164676
0.037275500000041942,-50.00906392829495
0.037275600000041945,-50.010725644602758
0.037275700000041948,-50.012386442106219
0.03727580000004195,-50.014046320823553
0.037275900000041953,-50.015705280772977
0.037276000000041956,-50.01736332197266
0.037276100000041959,-50.019020444440869
0.037276200000041962,-50.020676648195845
0.037276300000041965,-50.022331933255806
0.037276400000041968,-50.02398629963907
0.037276500000041971,-50.025639747363932
0.037276600000041973,-50.027292276448627
0.037276700000041976,-50.028943886911549
0.037276800000041979,-50.03059457877098
0.037276900000041982,-50.032244352045268
0.037277000000041985,-50.033893206752786
0.037277100000041988,-50.035541142911889
0.037277200000041991,-50.037188160541014
0.037277300000041994,-50.038834259658536
0.037277400000041996,-50.040479440282844
0.037277500000041999,-50.042123702432399
0.037277600000042002,-50.043767046125637
0.037277700000042005,-50.045409471381049
0.037277800000042008,-50.047050978217072
0.037277900000042011,-50.048691566652209
0.037278000000042014,-50.050331236704956
0.037278100000042017,-50.051969988393815
0.037278200000042019,-50.053607821737359
0.037278300000042022,-50.055244736754119
0.037278400000042025,-50.05688073346267
0.037278500000042028,-50.058515811881549
0.037278600000042031,-50.060149972029372
0.037278700000042034,-50.061783213924755
0.037278800000042037,-50.063415537586287
0.03727890000004204,-50.065046943032613
0.037279000000042042,-50.066677430282404
0.037279100000042045,-50.068306999354299
0.037279200000042048,-50.069935650266977
0.037279300000042051,-50.071563383039113
0.037279400000042054,-50.073190197689414
0.037279500000042057,-50.074816094236645
0.03727960000004206,-50.07644107269951
0.037279700000042063,-50.078065133096764
0.037279800000042065,-50.079688275447189
0.037279900000042068,-50.081310499769508
0.037280000000042071,-50.082931806082541
0.037280100000042074,-50.084552194405099
0.037280200000042077,-50.086171664755994
0.03728030000004208,-50.087790217154094
0.037280400000042083,-50.089407851618198
0.037280500000042086,-50.091024568167185
0.037280600000042088,-50.092640366819936
0.037280700000042091,-50.094255247595349
0.037280800000042094,-50.095869210512326
0.037280900000042097,-50.09748225558981
0.0372810000000421,-50.099094382846715
0.037281100000042103,-50.100705592301999
0.037281200000042106,-50.102315883974626
0.037281300000042109,-50.103925257883574
0.037281400000042111,-50.105533714047823
0.037281500000042114,-50.107141252486407
0.037281600000042117,-50.108747873218356
0.03728170000004212,-50.110353576262661
0.037281800000042123,-50.111958361638415
0.037281900000042126,-50.113562229364646
0.037282000000042129,-50.11516517946044
0.037282100000042132,-50.116767211944932
0.037282200000042134,-50.118368326837228
0.037282300000042137,-50.119968524156413
0.03728240000004214,-50.121567803921629
0.037282500000042143,-50.123166166152053
0.037282600000042146,-50.124763610866836
0.037282700000042149,-50.12636013808514
0.037282800000042152,-50.127955747826157
0.037282900000042155,-50.129550440109142
0.037283000000042157,-50.131144214953288
0.03728310000004216,-50.132737072377815
0.037283200000042163,-50.134329012401992
0.037283300000042166,-50.135920035045103
0.037283400000042169,-50.137510140326448
0.037283500000042172,-50.139099328265253
0.037283600000042175,-50.140687598880888
0.037283700000042178,-50.142274952192643
0.03728380000004218,-50.143861388219868
0.037283900000042183,-50.145446906981931
0.037284000000042186,-50.147031508498173
0.037284100000042189,-50.148615192787986
0.037284200000042192,-50.150197959870745
0.037284300000042195,-50.151779809765891
0.037284400000042198,-50.153360742492836
0.037284500000042201,-50.154940758071042
0.037284600000042203,-50.156519856519914
0.037284700000042206,-50.158098037858963
0.037284800000042209,-50.159675302107665
0.037284900000042212,-50.161251649285511
0.037285000000042215,-50.162827079412004
0.037285100000042218,-50.164401592506657
0.037285200000042221,-50.165975188589037
0.037285300000042224,-50.167547867678692
0.037285400000042226,-50.169119629795176
0.037285500000042229,-50.170690474958064
0.037285600000042232,-50.172260403186982
0.037285700000042235,-50.173829414501519
0.037285800000042238,-50.175397508921286
0.037285900000042241,-50.176964686465993
0.037286000000042244,-50.178530947155238
0.037286100000042247,-50.180096291008702
0.037286200000042249,-50.181660718046054
0.037286300000042252,-50.183224228287017
0.037286400000042255,-50.184786821751253
0.037286500000042258,-50.18634849845855
0.037286600000042261,-50.187909258428618
0.037286700000042264,-50.189469101681219
0.037286800000042267,-50.19102802823609
0.03728690000004227,-50.192586038113049
0.037287000000042272,-50.194143131331884
0.037287100000042275,-50.195699307912435
0.037287200000042278,-50.197254567874481
0.037287300000042281,-50.198808911237883
0.037287400000042284,-50.200362338022487
0.037287500000042287,-50.201914848248158
0.03728760000004229,-50.203466441934822
0.037287700000042293,-50.205017119102337
0.037287800000042295,-50.206566879770612
0.037287900000042298,-50.208115723959587
0.037288000000042301,-50.209663651689212
0.037288100000042304,-50.211210662979411
0.037288200000042307,-50.212756757850187
0.03728830000004231,-50.214301936321512
0.037288400000042313,-50.215846198413352
0.037288500000042316,-50.217389544145774
0.037288600000042318,-50.218931973538787
0.037288700000042321,-50.220473486612399
0.037288800000042324,-50.222014083386718
0.037288900000042327,-50.223553763881789
0.03728900000004233,-50.225092528117678
0.037289100000042333,-50.226630376114493
0.037289200000042336,-50.228167307892356
0.037289300000042339,-50.229703323471398
0.037289400000042341,-50.231238422871762
0.037289500000042344,-50.232772606113564
0.037289600000042347,-50.234305873217018
0.03728970000004235,-50.235838224202304
0.037289800000042353,-50.237369659089602
0.037289900000042356,-50.238900177899126
0.037290000000042359,-50.240429780651127
0.037290100000042362,74.993788133208
0.037290200000042364,74.993786207432919
0.037290300000042367,74.993784281657895
0.03729040000004237,74.9937823558829
0.037290500000042373,74.993780430107947
0.037290600000042376,74.993778504333079
