Time,Io,I3
0.040432600000132726,0.80198621787985758,1.2519763004092965e-005
0.040432700000132729,0.80201174768035344,1.2519763004092965e-005
0.040432800000132732,0.80203726326999458,1.2505552149377763e-005
0.040432900000132735,0.80206277175420837,1.2519763004092965e-005
0.040433000000132738,0.80208825892214008,1.2519763004092965e-005
0.040433100000132741,0.80211373187921708,1.2519763004092965e-005
0.040433200000132744,0.80213918352001201,1.2519763004092965e-005
0.040433300000132746,0.80216463516080694,1.2519763004092965e-005
0.040433400000132749,0.80219006548531979,1.2533973858808167e-005
0.040433500000132752,0.80221547449355057,1.2519763004092965e-005
0.040433600000132755,0.802240876396354,1.2519763004092965e-005
0.040433700000132758,0.80226626408830271,1.2519763004092965e-005
0.040433800000132761,0.8022916375693967,1.2519763004092965e-005
0.040433900000132764,0.80231698973420862,1.2519763004092965e-005
0.040434000000132767,0.80234233479359318,1.2519763004092965e-005
0.040434100000132769,0.80236766564212303,1.2519763004092965e-005
0.040434200000132772,0.80239296096351609,1.2505552149377763e-005
0.040434300000132775,0.80241826339033651,1.2519763004092965e-005
0.040434400000132778,0.80244354450087485,1.2505552149377763e-005
0.040434500000132781,0.80246881140055848,1.2505552149377763e-005
0.040434600000132784,0.80249407119481475,1.2519763004092965e-005
0.040434700000132787,0.80251930256736159,1.2519763004092965e-005
0.04043480000013279,0.80254452683448108,1.2519763004092965e-005
0.040434900000132792,0.80256973689074584,1.2505552149377763e-005
0.040435000000132795,0.8025949327361559,1.2519763004092965e-005
0.040435100000132798,0.80262011437071124,1.2519763004092965e-005
0.040435200000132801,0.80264528889983922,1.2519763004092965e-005
0.040435300000132804,0.80267042790183041,1.2519763004092965e-005
0.040435400000132807,0.80269557400924896,1.2533973858808167e-005
0.04043550000013281,0.80272069169495808,1.2519763004092965e-005
0.040435600000132813,0.80274578806438512,1.2519763004092965e-005
0.040435700000132815,0.80277088443381217,1.2519763004092965e-005
0.040435800000132818,0.8027959665923845,1.2519763004092965e-005
0.040435900000132821,0.8028210203292474,1.2519763004092965e-005
0.040436000000132824,0.8028460740661103,1.2519763004092965e-005
0.040436100000132827,0.80287111359211849,1.2519763004092965e-005
0.04043620000013283,0.80289612469641725,1.2519763004092965e-005
0.040436300000132833,0.802921135800716,1.2533973858808167e-005
0.040436400000132836,0.80294612558873268,1.2519763004092965e-005
0.040436500000132838,0.80297110116589465,1.2519763004092965e-005
0.040436600000132841,0.80299604832134719,1.2533973858808167e-005
0.040436700000132844,0.80302100968765444,1.2519763004092965e-005
0.040436800000132847,0.80304593552682491,1.2519763004092965e-005
0.04043690000013285,0.8030708400497133,1.2519763004092965e-005
0.040437000000132853,0.80309575167802905,1.2533973858808167e-005
0.040437100000132856,0.80312063488463536,1.2519763004092965e-005
0.040437200000132859,0.80314549677495961,1.2519763004092965e-005
0.040437300000132861,0.80317036577071121,1.2519763004092965e-005
0.040437400000132864,0.80319520634475339,1.2519763004092965e-005
0.040437500000132867,0.8032200398133682,1.2533973858808167e-005
0.04043760000013287,0.80324485196570095,1.2533973858808167e-005
0.040437700000132873,0.80326964990717897,1.2519763004092965e-005
0.040437800000132876,0.80329443363780229,1.2519763004092965e-005
0.040437900000132879,0.80331919605214352,1.2519763004092965e-005
0.040438000000132882,0.80334395136105741,1.2519763004092965e-005
0.040438100000132884,0.80336869245911657,1.2519763004092965e-005
0.040438200000132887,0.80339341934632102,1.2519763004092965e-005
0.04043830000013289,0.8034181249172434,1.2519763004092965e-005
0.040438400000132893,0.80344282338273842,1.2519763004092965e-005
0.040438500000132896,0.80346750053195137,1.2519763004092965e-005
0.040438600000132899,0.80349217768116432,1.2533973858808167e-005
0.040438700000132902,0.80351682640866784,1.2519763004092965e-005
0.040438800000132905,0.803541468030744,1.2533973858808167e-005
0.040438900000132907,0.80356608123111073,1.2519763004092965e-005
0.04043900000013291,0.8035906873260501,1.2533973858808167e-005
0.040439100000132913,0.80361528631556212,1.2519763004092965e-005
0.040439200000132916,0.80363986398879206,1.2519763004092965e-005
0.040439300000132919,0.80366442745116728,1.2519763004092965e-005
0.040439400000132922,0.80368896959726044,1.2533973858808167e-005
0.040439500000132925,0.80371351884878095,1.2519763004092965e-005
0.040439600000132928,0.80373802546773732,1.2533973858808167e-005
0.04043970000013293,0.8037625462975484,1.2533973858808167e-005
0.040439800000132933,0.80378703160022269,1.2519763004092965e-005
0.040439900000132936,0.80381149558661491,1.2533973858808167e-005
0.040440000000132939,0.80383597378386185,1.2533973858808167e-005
0.040440100000132942,0.80379577127587254,1.293344027430976
0.040440200000132945,0.80375559008416531,1.2937450719618937
0.040440300000132948,0.80371539468160336,1.2941461022819567
0.040440400000132951,0.80367520638446877,1.2945471326020197
0.040440500000132953,0.80363501098190682,1.2949481629220827
0.040440600000132956,0.80359483689562694,1.2953492074530004
0.040440700000132959,0.80355465570391971,1.2957502377730634
0.040440800000132962,0.80351448872306719,1.2961512823039811
0.040440900000132965,0.80347431463678731,1.2965523126240441
0.040441000000132968,0.80343413344508008,1.2969533571549619
0.040441100000132971,0.80339396646422756,1.2973543874750249
0.040441200000132974,0.80335379948337504,1.2977554177950879
0.040441300000132976,0.80331363250252252,1.2981564623260056
0.040441400000132979,0.80327346552167,1.2985574926460686
0.040441500000132982,0.8032333127516722,1.2989585371769863
0.040441600000132985,0.80319314577081968,1.2993595674970493
0.040441700000132988,0.80315298589539452,1.2997605978171123
0.040441800000132991,0.80311282601996936,1.30016164234803
0.040441900000132994,0.80307268035539892,1.300562672668093
0.040442000000132997,0.80303252047997375,1.300963702988156
