Time,Vo
0.061520500000739123,-125.36329844331026
0.061520600000739126,-125.39893325142893
0.061520700000739129,-125.43456006142313
0.061520800000739131,-125.47017887399561
0.061520900000739134,-125.50578968984931
0.061521000000739137,-125.54139250968714
0.06152110000073914,-125.57698733421205
0.061521200000739143,-125.61257416412694
0.061521300000739146,-125.64815300013481
0.061521400000739149,-125.68372384293863
0.061521500000739152,-125.7192866932414
0.061521600000739154,-125.75484155174621
0.061521700000739157,-125.79038841915606
0.06152180000073916,-125.825927296174
0.061521900000739163,-125.86145818350312
0.061522000000739166,-125.89698108184662
0.061522100000739169,-125.93249599190756
0.061522200000739172,-125.96800291438916
0.061522300000739175,-126.00350184999452
0.061522400000739177,-126.03899279942688
0.06152250000073918,-126.07447576338947
0.061522600000739183,-126.10995074258553
0.061522700000739186,-126.14541773771828
0.061522800000739189,-126.18087674949108
0.061522900000739192,-126.21632777860721
0.061523000000739195,-126.25177082577
0.061523100000739198,-126.28720589168282
0.0615232000007392,-126.32263297704898
0.061523300000739203,-126.35805208257197
0.061523400000739206,-126.39346320895511
0.061523500000739209,-126.42886635690188
0.061523600000739212,-126.46426152711574
0.061523700000739215,-126.49964872030012
0.061523800000739218,-126.53502793715855
0.061523900000739221,-126.57039917839461
0.061524000000739223,-126.60576244471179
0.061524100000739226,-126.64111773681364
0.061524200000739229,-126.67646505540375
0.061524300000739232,-126.71180440118572
0.061524400000739235,-126.74713577486317
0.061524500000739238,-126.78245917713976
0.061524600000739241,-126.81777460871912
0.061524700000739244,-126.85308207030505
0.061524800000739246,-126.88838156260115
0.061524900000739249,-126.92367308631118
0.061525000000739252,-126.95895664213889
0.061525100000739255,-126.99423223078811
0.061525200000739258,-127.02949985296257
0.061525300000739261,-127.06475950936608
0.061525400000739264,-127.10001120070247
0.061525500000739267,-127.13525492767562
0.061525600000739269,-127.17049069098945
0.061525700000739272,-127.20571849134777
0.061525800000739275,-127.24093832945452
0.061525900000739278,-127.27615020601371
0.061526000000739281,-127.31135412172914
0.061526100000739284,-127.34655007730493
0.061526200000739287,-127.38173807344501
0.06152630000073929,-127.41691811085349
0.061526400000739292,-127.45209019023439
0.061526500000739295,-127.48725431229174
0.061526600000739298,-127.52241047772961
0.061526700000739301,-127.55755868725208
0.061526800000739304,-127.59269894156333
0.061526900000739307,-127.62783124136755
0.06152700000073931,-127.66295558736883
0.061527100000739313,-127.69807198027139
0.061527200000739315,-127.73318042077943
