Time,corrente_na_carga,I_entrada
0.21738410000522107,-1.1908696251339279e-005,0.54500236501553445
0.21738420000522107,-1.1908696251339279e-005,0.5452690174934105
0.21738430000522108,-1.1894485396624077e-005,0.54553568418214127
0.21738440000522108,0.54568447183100943,0.54569636631640606
0.21738450000522108,0.54552734241042344,0.5455392653175295
0.21738460000522108,0.54537021298983746,0.54538210747523408
0.21738470000522109,0.54521301251497789,0.54522492121122923
0.21738480000522109,0.54505579782926361,0.54506769231466023
0.21738490000522109,0.54489851208927575,0.54491043499638181
0.2173850000052211,0.54474121213843318,0.54475312083468452
0.2173851000052211,0.54458386955502647,0.54459577825127781
0.2173852000052211,0.54442648433905561,0.54443839303530694
0.2173853000052211,0.5442690564905206,0.54428097939762665
0.21738540000522111,0.54411160022027616,0.54412352312738221
0.21738550000522111,0.54395410131746758,0.54396602422457363
0.21738560000522111,0.54379655978209485,0.5438084826892009
0.21738570000522112,0.54363897561415797,0.54365089852126403
0.21738580000522112,0.54348134881365695,0.54349328593161772
0.21738590000522112,0.54332370780230121,0.54333563070940727
0.21738600000522112,0.54316603836923605,0.54317794706548739
0.21738610000522113,0.54300828367104259,0.54302020657814865
0.21738620000522113,0.54285052897284913,0.54286243766910047
0.21738630000522113,0.5426927032203821,0.54270464033834287
0.21738640000522114,0.54253486325706035,0.54254678616416641
0.21738650000522114,0.54237698066117446,0.54238890356828051
0.21738660000522114,0.54221905543272442,0.54223097833983047
0.21738670000522115,0.54206108757171023,0.542073024689671
0.21738680000522115,0.54190309128898662,0.54191502840694739
0.21738690000522115,0.54174505237369885,0.54175698949165962
0.21738700000522115,0.54158697082584695,0.54159890794380772
0.21738710000522116,0.54142884664543089,0.54144079797424638
0.21738720000522116,0.54127070825416013,0.5412826453721209
0.21738730000522116,0.5411125130194705,0.54112445013743127
0.21738740000522117,0.54095430357392615,0.54096622648103221
0.21738750000522117,0.54079602307410823,0.540807960192069
0.21738760000522117,0.5406377283634356,0.54064965127054165
0.21738770000522117,0.5404793768093441,0.54049131392730487
0.21738780000522118,0.54032099683354318,0.54033293395150395
0.21738790000522118,0.5401625742251781,0.54017451134313887
0.21738800000522118,0.5400041231951036,0.54001606031306437
0.21738810000522119,0.53984562953246495,0.53985756665042572
0.21738820000522119,0.53968707902640745,0.53969903035522293
0.21738830000522119,0.53952851430949522,0.53954046563831071
0.21738840000522119,0.53936990696001885,0.53938185828883434
0.2173885000052212,0.53921125697797834,0.53922320830679382
0.2173886000052212,0.53905257857422839,0.53906452990304388
0.2173887000052212,0.53889384332705959,0.53890580886672979
0.21738880000522121,0.53873509386903606,0.53874705940870626
0.21738890000522121,0.5385763017784484,0.53858825310726388
0.21738900000522121,0.53841746705529658,0.53842941838411207
0.21738910000522121,0.53825860391043534,0.53827055523925083
0.21738920000522122,0.53809968392215524,0.53811164946182544
0.21738930000522122,0.53794074972302042,0.5379527010518359
0.21738940000522122,0.53778175868046674,0.53779372422013694
0.21738950000522123,0.53762273921620363,0.53763470475587383
0.21738960000522123,0.53746367711937637,0.53747564265904657
0.21738970000522123,0.53730458660083968,0.53731655214050988
0.21738980000522123,0.53714545344973885,0.53715741898940905
0.21738990000522124,0.53698627766607387,0.53699824320574407
0.21739000000522124,0.53682707346069947,0.53683903900036967
0.21739010000522124,0.53666782662276091,0.53667979216243111
0.21739020000522125,0.53650855136311293,0.53652051690278313
0.21739030000522125,0.5363492334709008,0.536361199010571
0.21739040000522125,0.53618987294612452,0.53620183848579472
0.21739050000522125,0.53603048399963882,0.53604244953930902
0.21739060000522126,0.53587105242058897,0.53588301796025917
0.21739070000522126,0.53571159241982969,0.53572355795949989
0.21739080000522126,0.53555208978650626,0.53556405532617646
0.21739090000522127,0.53539254452061869,0.53540451006028889
0.21739100000522127,0.53523295662216697,0.53524493637269188
0.21739110000522127,0.53507334030200582,0.53508533426338545
0.21739120000522127,0.53491369556013524,0.53492567531066015
0.21739130000522128,0.53475400818570051,0.53476598793622543
0.21739140000522128,0.53459427817870164,0.53460627214008127
0.21739150000522128,0.53443451974999334,0.53444651371137297
0.21739160000522129,0.5342747186887209,0.53428671265010053
0.21739170000522129,0.53411488920573902,0.53412688316711865
0.21739180000522129,0.533955017090193,0.53396701105157263
0.21739190000522129,0.53379511655293754,0.53380709630346246
0.2173920000052213,0.53363517338311794,0.53364715313364286
0.2173921000052213,0.5334751875807342,0.53348718154211383
0.2173922000052213,0.53331517335664103,0.53332716731802066
0.21739230000522131,0.53315511649998371,0.53316711046136334
0.21739240000522131,0.53299503122161696,0.53300702518299659
0.21739250000522131,0.53283490331068606,0.53284689727206569
0.21739260000522131,0.53267474697804573,0.53268674093942536
0.21739270000522132,0.53251454801284126,0.53252654197422089
0.21739280000522132,0.53235430641507264,0.53236630037645227
0.21739290000522132,0.53219403639559459,0.53220603035697422
0.21739300000522133,0.53203373795440712,0.53204573191578675
0.21739310000522133,0.53187338266980078,0.53188539084203512
0.21739320000522133,0.53171301317433972,0.53172500713571935
0.21739330000522133,0.53155258683545981,0.53156459500769415
0.21739340000522134,0.53139214628572518,0.53140414024710481
0.21739350000522134,0.5312316631034264,0.53124365706480603
0.21739360000522134,0.53107113728856348,0.53108313124994311
0.21739370000522135,0.53091058305199113,0.53092257701337076
0.21739380000522135,0.53074998618285463,0.53076198014423426
0.21739390000522135,0.53058934668115398,0.53060135485338833
0.21739400000522136,0.53042869296859863,0.53044068692997826
0.21739410000522136,0.53026798241262441,0.53027999058485875
0.21739420000522136,0.53010724343494076,0.5301192516071751
