Time,vL
0.39828760001042307,-44.52840994128853
0.39828770001042307,-44.539086182260178
0.39828780001042308,-44.549752797369578
0.39828790001042308,-44.560409786044104
0.39828800001042308,-44.571057147712722
0.39828810001042309,-44.581694881806555
0.39828820001042309,-44.592322987758379
0.39828830001042309,-44.602941465002814
0.39828840001042309,-44.613550312976329
0.3982885000104231,-44.624149531117183
0.3982886000104231,-44.634739118865554
0.3982887000104231,-44.645319075663437
0.39828880001042311,-44.655889400954635
0.39828890001042311,-44.666450094184682
0.39828900001042311,-44.677001154801147
0.39828910001042311,-44.6875425822533
0.39828920001042312,-44.698074375992306
0.39828930001042312,-44.708596535471031
0.39828940001042312,-44.719109060144376
0.39828950001042313,-44.729611949468918
0.39828960001042313,-44.740105202903095
0.39828970001042313,-44.750588819907193
0.39828980001042313,-44.761062799943431
0.39828990001042314,-44.771527142475648
0.39829000001042314,-44.781981846969714
0.39829010001042314,-44.792426912893092
0.39829020001042315,-44.802862339715318
0.39829030001042315,-44.813288126907651
0.39829040001042315,-44.823704273943207
0.39829050001042315,-44.834110780296896
0.39829060001042316,-44.844507645445432
0.39829070001042316,-44.854894868867532
0.39829080001042316,-44.865272450043548
0.39829090001042317,-44.875640388455693
0.39829100001042317,-44.885998683588099
0.39829110001042317,-44.896347334926631
0.39829120001042317,-44.906686341958959
0.39829130001042318,-44.917015704174773
0.39829140001042318,-44.927335421065422
0.39829150001042318,-44.937645492124076
0.39829160001042319,-44.947945916845811
0.39829170001042319,-44.958236694727532
0.39829180001042319,-44.968517825267881
0.39829190001042319,-44.978789307967332
0.3982920000104232,-44.989051142328464
0.3982921000104232,-44.999303327855273
0.3982922000104232,-45.009545864053862
0.39829230001042321,-45.019778750431968
0.39829240001042321,-45.030001986499315
0.39829250001042321,-45.040215571767419
0.39829260001042321,-45.050419505749531
0.39829270001042322,-45.060613787960847
0.39829280001042322,-45.070798417918283
0.39829290001042322,-45.08097339514066
0.39829300001042323,-45.091138719148589
0.39829310001042323,-45.10129438946457
0.39829320001042323,-45.111440405612854
0.39829330001042323,-45.121576767119464
0.39829340001042324,-45.131703473512403
0.39829350001042324,-45.141820524321432
0.39829360001042324,-45.151927919078005
0.39829370001042325,-45.162025657315567
0.39829380001042325,-45.172113738569408
0.39829390001042325,-45.182192162376452
0.39829400001042325,-45.192260928275573
0.39829410001042326,-45.202320035807602
0.39829420001042326,-45.212369484514895
0.39829430001042326,-45.222409273941878
0.39829440001042327,-45.232439403634686
0.39829450001042327,-45.242459873141257
0.39829460001042327,-45.25247068201142
0.39829470001042327,-45.262471829796809
0.39829480001042328,-45.272463316050874
0.39829490001042328,-45.282445140328946
0.39829500001042328,-45.292417302188014
0.39829510001042329,-45.302379801187072
0.39829520001042329,-45.312332636886794
0.39829530001042329,-45.322275808849824
0.3982954000104233,-45.332209316640458
0.3982955000104233,-45.342133159824925
0.3982956000104233,-45.352047337971271
0.3982957000104233,-45.361951850649291
0.39829580001042331,-45.371846697430669
0.39829590001042331,-45.381731877888868
0.39829600001042331,-45.391607391599209
0.39829610001042332,-45.401473238138834
0.39829620001042332,-45.411329417086691
0.39829630001042332,-45.421175928023544
0.39829640001042332,-45.431012770531964
0.39829650001042333,-45.440839944196341
0.39829660001042333,-45.450657448602882
0.39829670001042333,-45.460465283339659
0.39829680001042334,-45.470263447996572
0.39829690001042334,-45.480051942165261
0.39829700001042334,-45.489830765439109
0.39829710001042334,-45.499599917413519
0.39829720001042335,-45.50935939768577
0.39829730001042335,-45.519109205854591
0.39829740001042335,-45.528849341520896
0.39829750001042336,-45.538579804287139
0.39829760001042336,-45.548300593757887
0.39829770001042336,-45.55801170953923
0.39829780001042336,-45.567713151239204
0.39829790001042337,-45.577404918467693
0.39829800001042337,-45.587087010836328
0.39829810001042337,-45.596759427958659
0.39829820001042338,-45.606422169449957
0.39829830001042338,-45.616075234927422
0.39829840001042338,-45.625718624009977
0.39829850001042338,-45.635352336318235
0.39829860001042339,-45.644976371474868
0.39829870001042339,-45.654590729104243
0.39829880001042339,-45.664195408832555
0.3982989000104234,-45.673790410287737
0.3982990000104234,-45.683375733099652
0.3982991000104234,-45.692951376899984
0.3982992000104234,-45.702517341322164
0.39829930001042341,-45.712073626001455
0.39829940001042341,-45.72162023057497
0.39829950001042341,-45.731157154681554
0.39829960001042342,-45.740684397961942
0.39829970001042342,-45.750201960058732
0.39829980001042342,-45.759709840616111
0.39829990001042342,-45.769208039280329
0.39830000001042343,74.997499885922693
0.39830010001042343,74.997498605706966
0.39830020001042343,74.997497325491253
0.39830030001042344,74.997496045275568
0.39830040001042344,74.997494765059898
0.39830050001042344,74.997493484844242
0.39830060001042344,74.997492204628614
0.39830070001042345,74.997490924413015
0.39830080001042345,74.997489644197415
0.39830090001042345,74.997488363981859
0.39830100001042346,74.997487083766302
0.39830110001042346,74.997485803550788
0.39830120001042346,74.997484523335274
0.39830130001042346,74.997483243119788
0.39830140001042347,74.997481962904331
0.39830150001042347,74.997480682688888
0.39830160001042347,74.997479402473459
0.39830170001042348,74.997478122258059
0.39830180001042348,74.997476842042687
0.39830190001042348,74.997475561827329
0.39830200001042348,74.997474281611986
0.39830210001042349,74.997473001396671
0.39830220001042349,74.99747172118137
0.39830230001042349,74.997470440966097
0.3983024000104235,74.997469160750839
0.3983025000104235,74.997467880535595
0.3983026000104235,74.997466600320379
0.3983027000104235,74.997465320105192
0.39830280001042351,74.997464039890019
0.39830290001042351,74.99746275967486
0.39830300001042351,74.99746147945973
0.39830310001042352,74.997460199244614
0.39830320001042352,74.997458919029526
